,Parameters,Depth,Embedding Dim,num_compressed_tokens,bottleneck_locs,bottleneck_size,bottleneck,Mean (ms),Median (ms),IQR (ms)
27,115046400,12,768,32,6,3,conv_bottleneck,67.16705839122976,67.099189000146,0.8267280063591897
28,115046400,12,768,64,6,3,conv_bottleneck,73.60884369620113,73.56093300040811,0.24789800227154046
29,115046400,12,768,128,6,3,conv_bottleneck,86.16641423757619,85.97690000897273,1.6244260041275993
30,115046400,12,768,8,7,3,conv_bottleneck,70.01222624359956,69.79368699830957,0.8696634977241047
31,115046400,12,768,16,7,3,conv_bottleneck,70.58469656999875,70.4057754992391,0.6896742488606833
32,115046400,12,768,32,7,3,conv_bottleneck,72.88630308255298,72.79685200046515,0.6151680063339882
33,115046400,12,768,64,7,3,conv_bottleneck,78.87480883315827,78.44877999741584,1.6236454976024106
34,115046400,12,768,128,7,3,conv_bottleneck,89.43820243310054,89.40960150357569,0.7988297511474229
35,115046400,12,768,8,8,3,conv_bottleneck,76.05009430163882,76.0053185003926,0.42084601227543317
36,115046400,12,768,16,8,3,conv_bottleneck,77.1881839811193,77.06510349817108,0.7120252521417569
37,115046400,12,768,32,8,3,conv_bottleneck,78.85164562792531,78.79445350408787,0.27943974782829173
38,115046400,12,768,64,8,3,conv_bottleneck,84.59262202117029,84.35716999520082,0.9206289978465065
39,115046400,12,768,128,8,3,conv_bottleneck,93.85459876902195,93.87348849850241,0.8953044962254353
40,115046400,12,768,8,9,3,conv_bottleneck,83.31103697023116,83.07418299955316,1.0713710071286187
41,115046400,12,768,16,9,3,conv_bottleneck,83.93415493749974,84.06549099890981,0.7986414857441559
42,115046400,12,768,32,9,3,conv_bottleneck,85.29315930803584,85.13964799931273,0.49887400382431224
43,115046400,12,768,64,9,3,conv_bottleneck,90.21042530333983,90.0632660050178,1.5733449981780723
44,115046400,12,768,128,9,3,conv_bottleneck,96.6222069151868,96.33578200009651,0.7846070002415217
45,115046400,12,768,8,10,3,conv_bottleneck,90.23608664100404,89.66839799541049,1.79562799166888
46,115046400,12,768,16,10,3,conv_bottleneck,90.47591921319437,90.03138499974739,1.158869985374622
47,115046400,12,768,32,10,3,conv_bottleneck,91.87778425108593,91.47932449559448,1.324382501479704
48,115046400,12,768,64,10,3,conv_bottleneck,95.03647772944532,94.44192299270071,1.681572015513666
49,115046400,12,768,128,10,3,conv_bottleneck,100.79980051359598,100.46285000862554,1.7232857426279224
50,115046400,12,768,8,11,3,conv_bottleneck,96.5892028432418,96.40225500334054,0.5791370058432221
51,115046400,12,768,16,11,3,conv_bottleneck,96.58128736191429,96.56768999411725,0.29816349706379697
52,115046400,12,768,32,11,3,conv_bottleneck,97.47455123018092,97.45077000115998,0.3425209943088703
53,115046400,12,768,64,11,3,conv_bottleneck,99.81001440753994,99.76345699396916,0.27352898905519396
54,115046400,12,768,128,11,3,conv_bottleneck,103.61579489836004,103.60016449703835,0.4067482514074072
